"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500141,10022186,"1500141","1",
961500142,10022187,"1500142","1",
961500143,10022188,"1500143","1",
961500144,10022189,"1500144","1",
961500145,10022190,"1500145","1",
961500146,10022191,"1500146","1",
961500147,10022192,"1500147","1",
961500148,10022193,"1500148","1",
961500149,10022194,"1500149","1",
961500150,10022195,"1500150","1",
961500151,10022196,"1500151","1",
961500152,10022197,"1500152","1",
961500153,10022198,"1500153","1",
961500154,10022199,"1500154","1",
961500155,10022200,"1500155","1",
961500156,10022201,"1500156","7",
961500157,10022202,"1500157","1",
961500158,10022203,"1500158","1",
961500159,10022204,"1500159","1",
961500160,10022205,"1500160","1",
961500161,10022206,"1500161","7",
961500162,10022207,"1500162","1",
961500163,10022208,"1500163","1",
961500164,10022209,"1500164","1",
961500165,10022210,"1500165","1",
961500166,10022211,"1500166","1",
961500167,10022212,"1500167","1",
961500168,10022213,"1500168","1",
961500169,10022214,"1500169","1",
961500170,10022215,"1500170","1",
961500171,10022216,"1500171","1",
961500172,10022217,"1500172","1",
961500173,10022218,"1500173","1",
961500174,10022219,"1500174","1",
961500175,10022220,"1500175","1",
961500176,10022221,"1500176","1",
961500177,10022222,"1500177","1",
961500178,10022223,"1500178","1",
961500179,10022224,"1500179","1",
961500180,10022225,"1500180","1",
961500181,10022226,"1500181","1",
961500182,10022227,"1500182","1",
961500183,10022228,"1500183","1",
961500184,10022229,"1500184","1",
961500185,10022230,"1500185","1",
961500186,10022231,"1500186","1",
961500187,10022232,"1500187","1",
961500188,10022233,"1500188","1",
961500189,10022234,"1500189","1",
961500190,10022235,"1500190","1",
961500191,10022236,"1500191","1",
961500192,10022237,"1500192","1",
961500193,10022238,"1500193","1",
961500194,10022239,"1500194","1",
961500195,10022240,"1500195","1",
961500196,10022241,"1500196","1",
961500197,10022242,"1500197","1",
961500198,10022243,"1500198","1",
961500199,10022244,"1500199","1",
961500200,10022245,"1500200","1",
961500201,10022246,"1500201","1",
961500202,10022247,"1500202","1",
961500203,10022248,"1500203","1",
961500204,10022249,"1500204","1",
961500205,10022250,"1500205","1",
961500206,10022251,"1500206","1",
961500207,10022252,"1500207","1",
961500208,10022253,"1500208","1",
961500209,10022254,"1500209","1",
961500210,10022255,"1500210","1",
961500211,10022256,"1500211","1",
961500212,10022257,"1500212","1",
961500213,10022258,"1500213","1",
961500214,10022259,"1500214","1",
961500215,10022260,"1500215","1",
961500216,10022261,"1500216","1",
961500217,10022262,"1500217","1",
961500218,10022263,"1500218","1",
961500219,10022264,"1500219","1",
961500220,10022265,"1500220","1",
961500221,10022266,"1500221","1",
961500222,10022267,"1500222","1",
961500223,10022268,"1500223","1",
961500224,10022269,"1500224","1",
961500225,10022270,"1500225","1",
961500226,10022271,"1500226","1",
961500227,10022272,"1500227","1",
961500228,10022273,"1500228","1",
961500229,10022274,"1500229","1",
961500230,10022275,"1500230","1",
961500231,10022276,"1500231","1",
961500232,10022277,"1500232","1",
